asset_code,asset_issuer,asset_type
0,GBBJZOYEGLOCW32Q4ZGWRWQ7UKIGMMIQXIRBBBOVJVFJTZW7CR2VQKAT,credit_alphanum4
0,GCKHHE33Q64N7NVM2AEWLWK4T55VPZBFQ5WNU7E3TNO6LTGM6JR3GJGG,credit_alphanum4
0,GD3OJBRBHR77ZCRCK5I7LNKHMWN4RYLEAUJ3EROF4PYO6FZZOQBCDION,credit_alphanum4
0,GDBL3NVCPXTBN2SNSALTKKM5IT4B747ODGED2HQ7EXMCUHVCLAMY2Q3B,credit_alphanum4
000000AWD,GAYVHBG6KKHJAPBNGV2HVME6VGGIQ2MP3NI37I2CP55CNKOGCDDOJ3X5,credit_alphanum12
000001,GAIXBUY4TCMCDW76IOPUEIBGBR3FZZ6FCFLMKHGFYHPPJFEKT63DUKGG,credit_alphanum12
000002,GBROOQES7DFFJWGHHCQVIILNC5QQ6YR5XR6SIGUAYRQB3QSZGJDNBJ3U,credit_alphanum12
000003,GC3QTEB34VNUI4T3NARLKOSNUDYJQLTNGICZ76TA5O4ZRDBVZ2WXD33U,credit_alphanum12
0001,GAKZHAWTNE4VCHQX5B7N6ZSMQIF7DP7VGHIDFKVQWP4KLKI4RDBGLAEM,credit_alphanum4
0001,GB7L7CB7F5R7GXXI2VY3AUHDIBGWHUB2SAYO7NPERUCQO4F35G62DBAR,credit_alphanum4
