,symbol,timestamp,open,high,low,close,trade_count,base_volume,counter_volume,avg
0,USDC_XLM,2021-02-01 21:51:10.848,0.2655337,0.2655337,0.2655337,0.2655337,3,7.5320000,2.0000000,0.2655337
1,USDC_XLM,2021-02-01 21:53:21.920,0.3167450,0.3167450,0.3167450,0.3167450,1,0.9998440,0.3166956,0.3167450
2,USDC_XLM,2021-02-01 22:08:39.424,0.3176688,0.3176688,0.3176688,0.3176688,1,0.9966488,0.3166042,0.3176688
3,USDC_XLM,2021-02-01 22:15:12.640,0.3152185,0.3152185,0.3152185,0.3152185,2,2.0000000,0.6304370,0.3152185
4,USDC_XLM,2021-02-01 23:22:55.872,0.3198360,0.3198360,0.3198360,0.3198360,1,0.7000000,0.2238852,0.3198360
5,USDC_XLM,2021-02-01 23:29:29.088,0.3216003,0.3216003,0.3216003,0.3216003,1,1.4000000,0.4502403,0.3216002
6,USDC_XLM,2021-02-01 23:46:57.664,0.3217743,0.3226732,0.3217743,0.3226732,2,46.5299557,15.0000000,0.3223730
7,USDC_XLM,2021-02-01 23:53:30.880,0.3222411,0.3222411,0.3222411,0.3222411,1,31.0326670,10.0000000,0.3222411
8,USDC_XLM,2021-02-01 23:55:41.952,0.3221167,0.3221167,0.3221167,0.3221167,1,46.0000000,14.8173675,0.3221167
9,USDC_XLM,2021-02-02 00:10:59.456,0.3309321,0.3309321,0.3309321,0.3309321,1,0.9989707,0.3305915,0.3309321
