,_links,id,asset,amount,sponsor,last_modified_ledger,last_modified_time,claimants,flags,paging_token
0,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/000000000d5e0fc46ba7547884b190fd1e21fa2443b11e735b35260743bc42dac4f8228c'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/000000000d5e0fc46ba7547884b190fd1e21fa2443b11e735b35260743bc42dac4f8228c/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/000000000d5e0fc46ba7547884b190fd1e21fa2443b11e735b35260743bc42dac4f8228c/operations{?cursor,limit,order}', 'templated': True}}",000000000d5e0fc46ba7547884b190fd1e21fa2443b11e735b35260743bc42dac4f8228c,MUFG:GDIQ2MJILWMMVPQMPV3HK47ASKKCY26XIWJTLYPRL6QP3NR5YOHCTPHD,9000.0000000,GCNKDFXINCRWH2X6JVBNXDR5NOBFBUGJLQWAHOYDM7SDKZRUH76Z2GCO,49706881,2023-12-31T09:39:32Z,"[{'destination': 'GCNKDFXINCRWH2X6JVBNXDR5NOBFBUGJLQWAHOYDM7SDKZRUH76Z2GCO', 'predicate': {'not': {'abs_before': '2024-01-01T09:39:27Z', 'abs_before_epoch': '1704101967'}}}, {'destination': 'GBB4YBUSZM7JF77ABJUW4SQA2LH2GUWLGL26HMY7SREVPOUQHRJ52FHC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49706881-000000000d5e0fc46ba7547884b190fd1e21fa2443b11e735b35260743bc42dac4f8228c
1,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000b352be7bf414f89df296b1a0360d2233425f0518506997af47194c87a50d0fe7'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000b352be7bf414f89df296b1a0360d2233425f0518506997af47194c87a50d0fe7/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000b352be7bf414f89df296b1a0360d2233425f0518506997af47194c87a50d0fe7/operations{?cursor,limit,order}', 'templated': True}}",00000000b352be7bf414f89df296b1a0360d2233425f0518506997af47194c87a50d0fe7,XTAR:GAORYJ3KBDGIM7FFSKVUJHJ5NEFWIRDIAGGBJBJS7TY6ECZS53257IG4,1000.0000000,GDYAPTNACFQVAPUCD6LIV3RK75ERETZAID6KAN6K6NCPLEOBUCWPVC3R,49706879,2023-12-31T09:39:20Z,"[{'destination': 'GB3AVDEVKQNCXBOUBCIO3YJQKIFEZ3FGUIDZTMOWZSKXDQTHF73BUFFY', 'predicate': {'abs_before': '2024-01-30T09:39:20Z', 'abs_before_epoch': '1706607560'}}, {'destination': 'GDYAPTNACFQVAPUCD6LIV3RK75ERETZAID6KAN6K6NCPLEOBUCWPVC3R', 'predicate': {'not': {'abs_before': '2024-01-30T09:39:18Z', 'abs_before_epoch': '1706607558'}}}]",{'clawback_enabled': False},49706879-00000000b352be7bf414f89df296b1a0360d2233425f0518506997af47194c87a50d0fe7
2,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000256eef91859817733397f22646bdfba6c8140bdeeef8fbec66e29c69afbe9a46'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000256eef91859817733397f22646bdfba6c8140bdeeef8fbec66e29c69afbe9a46/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000256eef91859817733397f22646bdfba6c8140bdeeef8fbec66e29c69afbe9a46/operations{?cursor,limit,order}', 'templated': True}}",00000000256eef91859817733397f22646bdfba6c8140bdeeef8fbec66e29c69afbe9a46,SOYBEANS:GBIO5NLLV3US5FB4SBV2FU2SQH4ZO23OZT565NZZH3JWE7LKRYGL5DCA,100.0000000,GCXXMNEQQRESVPXSKLNNI3UDQQT5H4XXC4GP7AKXYROLBHCCGW7V4YFH,49706877,2023-12-31T09:39:09Z,"[{'destination': 'GCXXMNEQQRESVPXSKLNNI3UDQQT5H4XXC4GP7AKXYROLBHCCGW7V4YFH', 'predicate': {'not': {'abs_before': '2024-01-01T09:39:07Z', 'abs_before_epoch': '1704101947'}}}, {'destination': 'GBYIDB2UA462YJSQZFLJEIDIABQQ5HB7HY774TZKRYY64PRN5YOZGCVF', 'predicate': {'unconditional': True}}]",{'clawback_enabled': True},49706877-00000000256eef91859817733397f22646bdfba6c8140bdeeef8fbec66e29c69afbe9a46
3,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/000000002554d83a37de504b955ee7333e2cb6a0e105179200070051524c765acfcf1333'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/000000002554d83a37de504b955ee7333e2cb6a0e105179200070051524c765acfcf1333/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/000000002554d83a37de504b955ee7333e2cb6a0e105179200070051524c765acfcf1333/operations{?cursor,limit,order}', 'templated': True}}",000000002554d83a37de504b955ee7333e2cb6a0e105179200070051524c765acfcf1333,WIREX:GDZT2M24ZSD2Y6GDCWOG3B2GT2WDLGDGQKPH2FQXJPGS7VZ3ZKESRU5H,75000.0000000,GCNKDFXINCRWH2X6JVBNXDR5NOBFBUGJLQWAHOYDM7SDKZRUH76Z2GCO,49706864,2023-12-31T09:37:57Z,"[{'destination': 'GCNKDFXINCRWH2X6JVBNXDR5NOBFBUGJLQWAHOYDM7SDKZRUH76Z2GCO', 'predicate': {'not': {'abs_before': '2024-01-01T09:37:55Z', 'abs_before_epoch': '1704101875'}}}, {'destination': 'GBB4YBUSZM7JF77ABJUW4SQA2LH2GUWLGL26HMY7SREVPOUQHRJ52FHC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49706864-000000002554d83a37de504b955ee7333e2cb6a0e105179200070051524c765acfcf1333
4,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f2cf4dce78fa9d52b416241aa9ca3ca9834444c70db7dc3440654f86d131eef3'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f2cf4dce78fa9d52b416241aa9ca3ca9834444c70db7dc3440654f86d131eef3/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f2cf4dce78fa9d52b416241aa9ca3ca9834444c70db7dc3440654f86d131eef3/operations{?cursor,limit,order}', 'templated': True}}",00000000f2cf4dce78fa9d52b416241aa9ca3ca9834444c70db7dc3440654f86d131eef3,native,1500.0000000,GDIU57QSVCGU7MTRC53RUWAADKIE75GFNG27C26URMU7CKHNXOQ5RDME,49706854,2023-12-31T09:36:58Z,"[{'destination': 'GCZXSCJODSRB6QH4K3Z3HA7T25RFMOESYS6T4HSFTZDQI4L5P46S3MGW', 'predicate': {'not': {'unconditional': True}}}, {'destination': 'GAORXNBAWRIOJ7HRMCTWW2MIB6PYWSC7OKHGIXWTJXYRTZRSHP356TW3', 'predicate': {'not': {'abs_before': '2023-12-31T00:00:00Z', 'abs_before_epoch': '1703980800'}}}]",{'clawback_enabled': False},49706854-00000000f2cf4dce78fa9d52b416241aa9ca3ca9834444c70db7dc3440654f86d131eef3
5,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f9f6375d2b0bf91bcac852fe7b344359e27dfba31a9d4288c7caa6656adc3925'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f9f6375d2b0bf91bcac852fe7b344359e27dfba31a9d4288c7caa6656adc3925/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f9f6375d2b0bf91bcac852fe7b344359e27dfba31a9d4288c7caa6656adc3925/operations{?cursor,limit,order}', 'templated': True}}",00000000f9f6375d2b0bf91bcac852fe7b344359e27dfba31a9d4288c7caa6656adc3925,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA,11.5284486,GCAEGMNJIKLCURXNT6UYRB5TCDSKIPZAA5TKOTAX4GWGGBGT4P5SFU5V,49706852,2023-12-31T09:36:46Z,"[{'destination': 'GCZXSCJODSRB6QH4K3Z3HA7T25RFMOESYS6T4HSFTZDQI4L5P46S3MGW', 'predicate': {'not': {'unconditional': True}}}, {'destination': 'GCAEGMNJIKLCURXNT6UYRB5TCDSKIPZAA5TKOTAX4GWGGBGT4P5SFU5V', 'predicate': {'not': {'abs_before': '2024-01-07T09:36:41Z', 'abs_before_epoch': '1704620201'}}}]",{'clawback_enabled': False},49706852-00000000f9f6375d2b0bf91bcac852fe7b344359e27dfba31a9d4288c7caa6656adc3925
6,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000d7e51112936d33075a4f2766460857e7840d027b0bee092e087f88d6d38293e3'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000d7e51112936d33075a4f2766460857e7840d027b0bee092e087f88d6d38293e3/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000d7e51112936d33075a4f2766460857e7840d027b0bee092e087f88d6d38293e3/operations{?cursor,limit,order}', 'templated': True}}",00000000d7e51112936d33075a4f2766460857e7840d027b0bee092e087f88d6d38293e3,AQUA:GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA,11.5284486,GCAEGMNJIKLCURXNT6UYRB5TCDSKIPZAA5TKOTAX4GWGGBGT4P5SFU5V,49706852,2023-12-31T09:36:46Z,"[{'destination': 'GDVSMBB6WJKPZCGKZLEBYUIY7AOTOXT7RBNOJXSXBK44COBLTZZRBFPW', 'predicate': {'not': {'unconditional': True}}}, {'destination': 'GCAEGMNJIKLCURXNT6UYRB5TCDSKIPZAA5TKOTAX4GWGGBGT4P5SFU5V', 'predicate': {'not': {'abs_before': '2024-01-07T09:36:41Z', 'abs_before_epoch': '1704620201'}}}]",{'clawback_enabled': False},49706852-00000000d7e51112936d33075a4f2766460857e7840d027b0bee092e087f88d6d38293e3
7,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000793bb7b1a504a1dd60ea6e506a567d6e1f2d10b576ab61c3dd9d04dd69be5144'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000793bb7b1a504a1dd60ea6e506a567d6e1f2d10b576ab61c3dd9d04dd69be5144/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000793bb7b1a504a1dd60ea6e506a567d6e1f2d10b576ab61c3dd9d04dd69be5144/operations{?cursor,limit,order}', 'templated': True}}",00000000793bb7b1a504a1dd60ea6e506a567d6e1f2d10b576ab61c3dd9d04dd69be5144,TEMPO:GDZ5EMPEAATDRBFL77INXIZ3EJYO56Y2Z6R4ICLN7RPBON22AILTUYAA,3750.0000000,GCNKDFXINCRWH2X6JVBNXDR5NOBFBUGJLQWAHOYDM7SDKZRUH76Z2GCO,49706845,2023-12-31T09:36:01Z,"[{'destination': 'GCNKDFXINCRWH2X6JVBNXDR5NOBFBUGJLQWAHOYDM7SDKZRUH76Z2GCO', 'predicate': {'not': {'abs_before': '2024-01-01T09:35:55Z', 'abs_before_epoch': '1704101755'}}}, {'destination': 'GBB4YBUSZM7JF77ABJUW4SQA2LH2GUWLGL26HMY7SREVPOUQHRJ52FHC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49706845-00000000793bb7b1a504a1dd60ea6e506a567d6e1f2d10b576ab61c3dd9d04dd69be5144
8,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f06c929a5808136d0a777e9ab85293e8563a6e2a998c43e1ad468db61d2fdd6a'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f06c929a5808136d0a777e9ab85293e8563a6e2a998c43e1ad468db61d2fdd6a/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f06c929a5808136d0a777e9ab85293e8563a6e2a998c43e1ad468db61d2fdd6a/operations{?cursor,limit,order}', 'templated': True}}",00000000f06c929a5808136d0a777e9ab85293e8563a6e2a998c43e1ad468db61d2fdd6a,EVD:GBWZKINSUCNFCMSTJBPHM2N2A5G4Q7UULGGCVCASMMBSNIYTAC7VTXTP,0.7000000,GDE4PT4TSDBMYTR67Y3AYGNQNN6DJSNGBPGTGCEURBIANSCIXC4O3CHL,49706842,2023-12-31T09:35:44Z,"[{'destination': 'GD6PUEXJDBQ6BVAY352GYCXRI7AB2B7S33V4PYOZNN7PAPAHPAUOYH5W', 'predicate': {'unconditional': True}}, {'destination': 'GDE4PT4TSDBMYTR67Y3AYGNQNN6DJSNGBPGTGCEURBIANSCIXC4O3CHL', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49706842-00000000f06c929a5808136d0a777e9ab85293e8563a6e2a998c43e1ad468db61d2fdd6a
9,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000dd86500a019af84cd987a244e7b8a44c3eec66c2488da625fafc5562ad9a5bcb'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000dd86500a019af84cd987a244e7b8a44c3eec66c2488da625fafc5562ad9a5bcb/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000dd86500a019af84cd987a244e7b8a44c3eec66c2488da625fafc5562ad9a5bcb/operations{?cursor,limit,order}', 'templated': True}}",00000000dd86500a019af84cd987a244e7b8a44c3eec66c2488da625fafc5562ad9a5bcb,EVD:GBWZKINSUCNFCMSTJBPHM2N2A5G4Q7UULGGCVCASMMBSNIYTAC7VTXTP,0.7000000,GDE4PT4TSDBMYTR67Y3AYGNQNN6DJSNGBPGTGCEURBIANSCIXC4O3CHL,49706842,2023-12-31T09:35:44Z,"[{'destination': 'GDKNUPWJPHCN53F3CC6DPEZGGWLADS6UPZNVIQZBY3SAS2ZOXT55WXJQ', 'predicate': {'unconditional': True}}, {'destination': 'GDE4PT4TSDBMYTR67Y3AYGNQNN6DJSNGBPGTGCEURBIANSCIXC4O3CHL', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49706842-00000000dd86500a019af84cd987a244e7b8a44c3eec66c2488da625fafc5562ad9a5bcb
