asset,supply,traded_amount,payments_amount,created,trustlines,payments,rating,price7d,volume7d,paging_token,domain,tomlInfo,issuer,amount,flags,account_count,balance,offers_count,data,total_issuances,total_burns,total_transfers,total_offers,total_liabilities,total_trustlines,total_signers
XLM,1054439020873472900,438411540572245400,10617362272806255000,0,"[8856256, 0, 8206209]",236867240,"{'age': 10, 'trades': 10, 'payments': 10, 'trustlines': 10, 'volume7d': 10, 'interop': 10, 'liquidity': 10, 'average': 10}","[[1726012800, 0.09281356790940766], [1726099200, 0.09360489666666666], [1726185600, 0.09539666795138889], [1726272000, 0.09655336586805556], [1726358400, 0.09657845798611112], [1726444800, 0.09476381090277779], [1726531200, 0.09532992472222222], [1726617600, 0.0939700014479638]]",109081255239592,1,,,,,,,,,,,,,,,,
USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN-1,1173328831668063,42596111832104824,118247914964869980,1611089770,"[1101435, 1101435, 302710]",22641116,"{'age': 9, 'trades': 10, 'payments': 9, 'trustlines': 9, 'volume7d': 10, 'interop': 4, 'liquidity': 10, 'average': 8.7}","[[1726012800, 1.000079249477352], [1726099200, 1.0000137243055556], [1726185600, 1.000058107986111], [1726272000, 1.0000302565972221], [1726358400, 1.000083124652778], [1726444800, 1.0000181524305556], [1726531200, 1.000022554513889], [1726617600, 1.0000049570135747]]",319102165798762,2,centre.io,"{'code': 'USDC', 'issuer': 'GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN', 'name': 'USD Coin', 'image': 'https://stellar.myfilebase.com/ipfs/QmNcfZxs8e9uVyhEa3xoPWCsj3ZogGirtixMEC9Km4Fjm2', 'anchorAssetType': 'fiat', 'anchorAsset': 'USD', 'orgName': 'Centre Consortium LLC dba Centre Consortium', 'orgLogo': 'https://stellar.myfilebase.com/ipfs/QmfAKNcYWpQCPFgckEuTboks1GsaRYhzqgSrM6ZGFXMToo'}",,,,,,,,,,,,,,
yXLM-GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55-1,2175324460058552,119040657100623200,10641219062480560,1615892870,"[49583, 49583, 27328]",29743310,"{'age': 8, 'trades': 10, 'payments': 9, 'trustlines': 8, 'volume7d': 9, 'interop': 10, 'liquidity': 6, 'average': 8.6}","[[1726012800, 0.09269711658536586], [1726099200, 0.09358472916376306], [1726185600, 0.09537574621052632], [1726272000, 0.09655481315972222], [1726358400, 0.09656941045296168], [1726444800, 0.09476083503472223], [1726531200, 0.09534753136363636], [1726617600, 0.09398085827272727]]",7125099463575,3,ultracapital.xyz,"{'code': 'yXLM', 'issuer': 'GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55', 'image': 'https://stellar.myfilebase.com/ipfs/QmSTXU2wn1USnmd5ZypA5zMze259wEPSDP3i8wivyr9qiq', 'status': 'live', 'anchorAssetType': 'crypto', 'anchorAsset': 'XLM', 'orgName': 'Ultra Capital LLC dba Ultra Capital', 'orgLogo': 'https://stellar.myfilebase.com/ipfs/Qmaw6X1uP8ohKodhiveFygHBRBfW95TovoBfodJhGJRUho'}",,,,,,,,,,,,,,
SSLX-GBHFGY3ZNEJWLNO4LBUKLYOCEK4V7ENEBJGPRHHX7JU47GWHBREH37UR-1,99999918102311490,21306344633576704,168380962501081660,1621789313,"[130277, 130277, 127767]",133324328,"{'age': 8, 'trades': 8, 'payments': 10, 'trustlines': 9, 'volume7d': 8, 'interop': 10, 'liquidity': 5, 'average': 8.3}","[[1726012800, 0.0023814804818652847], [1726099200, 0.002284477036199095], [1726185600, 0.002235368517766498], [1726272000, 0.002115809632352941], [1726358400, 0.0020379254939759035], [1726444800, 0.0020647636987951804], [1726531200, 0.002157456734439834], [1726617600, 0.001996822069230769]]",431856349080,4,sslx.sl8.online,"{'code': 'SSLX', 'issuer': 'GBHFGY3ZNEJWLNO4LBUKLYOCEK4V7ENEBJGPRHHX7JU47GWHBREH37UR', 'name': 'SSLX', 'image': 'https://stellar.myfilebase.com/ipfs/QmYkosLbMRMPZSiRZBUuCBaGRbaxiuxPmXeFfs6QYeSWCY', 'decimals': 7, 'status': 'live', 'anchorAssetType': 'crypto', 'anchorAsset': 'USDC', 'orgName': 'Cassator Corp.', 'orgLogo': 'https://stellar.myfilebase.com/ipfs/QmSZtyjvnKNNpTW2ohedm44sw5f4XwRUt5oMQ2HncTzsDw'}",,,,,,,,,,,,,,
yUSDC-GDGTVWSM4MGS4T7Z6W4RPWOCHE2I6RDFCIFZGS3DOA63LWQTRNZNTTFF-2,26086968312299,3334912540395265,1901622428338716,1615892795,"[33020, 33020, 10261]",16059554,"{'age': 8, 'trades': 9, 'payments': 9, 'trustlines': 7, 'volume7d': 9, 'interop': 10, 'liquidity': 5, 'average': 8.1}","[[1726012800, 1.00041222543554], [1726099200, 1.0004118135416666], [1726185600, 1.000433090625], [1726272000, 1.0006323427083332], [1726358400, 1.0005377729166667], [1726444800, 0.9998724659722222], [1726531200, 1.0003669944250873], [1726617600, 1.0005771502304148]]",2499338610327,5,ultracapital.xyz,"{'code': 'yUSDC', 'issuer': 'GDGTVWSM4MGS4T7Z6W4RPWOCHE2I6RDFCIFZGS3DOA63LWQTRNZNTTFF', 'image': 'https://stellar.myfilebase.com/ipfs/QmTmcN7qNDkcfaawoJCUv31aWjwT75KjKAX4zC7JFrE2Xr', 'status': 'live', 'anchorAssetType': 'crypto', 'anchorAsset': 'USDC', 'orgName': 'Ultra Capital LLC dba Ultra Capital', 'orgLogo': 'https://stellar.myfilebase.com/ipfs/Qmaw6X1uP8ohKodhiveFygHBRBfW95TovoBfodJhGJRUho'}",,,,,,,,,,,,,,
AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA-1,999707710523864800,1827351415358400000,2922416736385379000,1620331559,"[186044, 186044, 130766]",255737230,"{'age': 8, 'trades': 10, 'payments': 10, 'trustlines': 9, 'volume7d': 9, 'interop': 4, 'liquidity': 6, 'average': 8}","[[1726012800, 0.0006110752912891987], [1726099200, 0.0006218075541666667], [1726185600, 0.0006322834142361111], [1726272000, 0.0006350947225694445], [1726358400, 0.0006370511475694445], [1726444800, 0.0006230465805555556], [1726531200, 0.0006277550611111112], [1726617600, 0.0006218589819004525]]",3786767441685,6,aqua.network,"{'code': 'AQUA', 'issuer': 'GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA', 'name': 'AQUA', 'image': 'https://stellar.myfilebase.com/ipfs/QmTqE6DhQftp51YXXL8HtkEBhr1PpW6F8W1NxnVoyK6G93', 'decimals': 7, 'orgName': 'Aquarius dba AQUA token', 'orgLogo': 'https://stellar.myfilebase.com/ipfs/QmTqE6DhQftp51YXXL8HtkEBhr1PpW6F8W1NxnVoyK6G93'}",,,,,,,,,,,,,,
BTCLN-GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT-2,6333400848192720,165858544716604860,23807591185899530,1594287238,"[8119, 8119, 6757]",10771517,"{'age': 9, 'trades': 9, 'payments': 8, 'trustlines': 6, 'volume7d': 8, 'interop': 10, 'liquidity': 5, 'average': 7.9}","[[1726012800, 0.0005711100745341615], [1726099200, 0.0005816235904191617], [1726185600, 0.0005883537881773399], [1726272000, 0.0006017704905882354], [1726358400, 0.0005995763032520325], [1726444800, 0.0005861966079136691], [1726531200, 0.0005937958028248587], [1726617600, 0.000600201738888889]]",248854378467,7,kbtrading.org,"{'code': 'BTCLN', 'issuer': 'GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT', 'name': 'Bitcoin Lightning', 'image': 'https://stellar.myfilebase.com/ipfs/QmVrLfcrZ5L2NeWoeTqDjpoTw9C86C5GHzNxXHXovo3Ztq', 'status': 'live', 'anchorAssetType': 'crypto', 'anchorAsset': 'BTCLN', 'orgName': 'KB Trading'}",,,,,,,,,,,,,,
XRP-GBXRPL45NPHCVMFFAYZVUVFFVKSIZ362ZXFP7I2ETNQ3QKZMFLPRDTD5-1,884612757363832,1940039019619514,1644964017827456,1517906561,"[38197, 38196, 23486]",252346,"{'age': 10, 'trades': 9, 'payments': 6, 'trustlines': 7, 'volume7d': 9, 'interop': 8, 'liquidity': 5, 'average': 7.7}","[[1726012800, 0.5342278736842105], [1726099200, 0.5502455003676471], [1726185600, 0.5667767950877193], [1726272000, 0.5833123007142857], [1726358400, 0.585972923773585], [1726444800, 0.5720003489051094], [1726531200, 0.5846119340501792], [1726617600, 0.5742320660194175]]",6312707757932,8,fchain.io,"{'code': 'XRP', 'issuer': 'GBXRPL45NPHCVMFFAYZVUVFFVKSIZ362ZXFP7I2ETNQ3QKZMFLPRDTD5', 'image': 'https://stellar.myfilebase.com/ipfs/QmPYsJjR623oATjwfLtnqW4BEDAgBsnMktjXcLC2pfNiEm', 'anchorAssetType': 'crypto', 'anchorAsset': 'XRP', 'orgName': 'Muyu Network', 'orgLogo': 'https://stellar.myfilebase.com/ipfs/QmQ8FAeShzuD987P4CfBs5ZdTCjnGTDqnrtJzhkgzFMDmM'}",,,,,,,,,,,,,,
ARST-GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG-1,2375486537679194,81678069046111800,63558648330248744,1576271512,"[263360, 263360, 34796]",130162,"{'age': 9, 'trades': 8, 'payments': 6, 'trustlines': 8, 'volume7d': 8, 'interop': 10, 'liquidity': 5, 'average': 7.7}","[[1726012800, 0.0008090639182481751], [1726099200, 0.000802441593877551], [1726185600, 0.0008085472156521739], [1726272000, 0.0008054925520408164], [1726358400, 0.0008040895428571429], [1726444800, 0.0008028088630434783], [1726531200, 0.0008028698369565218], [1726617600, 0.0008053822520547945]]",319020556066,9,pubnet-sep.latamex.com,"{'code': 'ARST', 'issuer': 'GCSAZVWXZKWS4XS223M5F54H2B6XPIIXZZGP7KEAIU6YSL5HDRGCI3DG', 'name': 'ARST', 'image': 'https://stellar.myfilebase.com/ipfs/QmUipuXJJBv784WtdnyXbVgh5KM4WZVb8Zf3eKB3XXWesa', 'decimals': 2, 'status': 'live', 'anchorAssetType': 'fiat', 'anchorAsset': 'ARS', 'orgName': 'Relay Tech Services Ltd'}",,,,,,,,,,,,,,
IDRT-GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT-1,17048290578859850,172349452542866050,45208760186310300,1618839935,"[8893, 8893, 8151]",3762574,"{'age': 8, 'trades': 8, 'payments': 8, 'trustlines': 7, 'volume7d': 8, 'interop': 10, 'liquidity': 4, 'average': 7.6}","[[1726012800, 6.45528467816092e-05], [1726099200, 6.442977224489795e-05], [1726185600, 6.482380183098591e-05], [1726272000, 6.488536563636363e-05], [1726358400, 6.597296702702703e-05], [1726444800, 6.992607801980198e-05], [1726531200, 7.154836659090909e-05], [1726617600, 6.591360901960785e-05]]",201122981059,10,kbtrading.org,"{'code': 'IDRT', 'issuer': 'GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT', 'name': 'Indonesian IDRT', 'image': 'https://stellar.myfilebase.com/ipfs/Qme7voiVGkuBJRR2ZMSWFdrfJ94tqGH8tLBaCHk8BaUxhn', 'decimals': 2, 'status': 'test', 'anchorAssetType': 'fiat', 'anchorAsset': 'IDRT', 'orgName': 'KB Trading'}",,,,,,,,,,,,,,
