symbol,timestamp,open,high,low,close,trade_count,base_volume,counter_volume,avg
USDC/XLM,2021-02-01 21:51:10.848,3.7660000,3.7660000,3.7660000,3.7660000,3,2.0000000,7.5320000,3.7660000
USDC/XLM,2021-02-01 21:53:21.920,3.1571136,3.1571136,3.1571136,3.1571136,1,0.3166956,0.9998440,3.1571136
USDC/XLM,2021-02-01 22:08:39.424,3.1479331,3.1479331,3.1479331,3.1479331,1,0.3166042,0.9966488,3.1479330
USDC/XLM,2021-02-01 22:15:12.640,3.1724025,3.1724025,3.1724025,3.1724025,2,0.6304370,2.0000000,3.1724026
USDC/XLM,2021-02-01 23:22:55.872,3.1266024,3.1266024,3.1266024,3.1266024,1,0.2238852,0.7000000,3.1266024
USDC/XLM,2021-02-01 23:29:29.088,3.1094500,3.1094500,3.1094500,3.1094500,1,0.4502403,1.4000000,3.1094507
USDC/XLM,2021-02-01 23:46:57.664,3.1077687,3.1077687,3.0991112,3.0991112,2,15.0000000,46.5299557,3.1019970
USDC/XLM,2021-02-01 23:53:30.880,3.1032667,3.1032667,3.1032667,3.1032667,1,10.0000000,31.0326670,3.1032667
USDC/XLM,2021-02-01 23:55:41.952,3.1044651,3.1044651,3.1044651,3.1044651,1,14.8173675,46.0000000,3.1044651
USDC/XLM,2021-02-02 00:10:59.456,3.0217675,3.0217675,3.0217675,3.0217675,1,0.3305915,0.9989707,3.0217676
USDC/XLM,2021-02-02 00:13:10.528,3.0000000,3.0000000,3.0000000,3.0000000,1,1.0000000,3.0000000,3.0000000
USDC/XLM,2021-02-02 00:15:21.600,3.0210950,3.0210950,3.0210950,3.0210950,1,1.3240232,4.0000000,3.0210951
USDC/XLM,2021-02-02 00:30:39.104,3.0698699,3.0698699,3.0698699,3.0698699,1,9.7724010,30.0000000,3.0698699
USDC/XLM,2021-02-02 00:35:01.248,3.0583836,3.0583836,3.0583836,3.0583836,1,1.0000000,3.0583836,3.0583836
USDC/XLM,2021-02-02 00:37:12.320,3.0549517,3.0578019,3.0549517,3.0578019,2,11.0074940,33.6558858,3.0575430
USDC/XLM,2021-02-02 00:41:34.464,3.0879366,3.0879366,3.0879366,3.0879366,1,5.0000000,15.4396832,3.0879366
USDC/XLM,2021-02-02 00:43:45.536,3.0874127,3.0874127,3.0874127,3.0874127,1,1.0000000,3.0874128,3.0874128
