,_links,id,asset,amount,sponsor,last_modified_ledger,last_modified_time,claimants,flags,paging_token
0,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/0000000071feabec106f0bafcbcb8070b38f9d51e2d67a365c6b560f7b6873c4c4b2761e'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/0000000071feabec106f0bafcbcb8070b38f9d51e2d67a365c6b560f7b6873c4c4b2761e/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/0000000071feabec106f0bafcbcb8070b38f9d51e2d67a365c6b560f7b6873c4c4b2761e/operations{?cursor,limit,order}', 'templated': True}}",0000000071feabec106f0bafcbcb8070b38f9d51e2d67a365c6b560f7b6873c4c4b2761e,BNB:GD7AMRH2TNC357XKMOMB4WLVIJVUK34WTX7X6MD7YK26I7PUSUQUHAJB,17874.5301100,GD4FAEDSLKDT2F5VQWWNK745MGGRC4BKSHLFYYD3FBTPH6FPSDAOKQTB,49730999,2024-01-02T00:47:19Z,"[{'destination': 'GD4FAEDSLKDT2F5VQWWNK745MGGRC4BKSHLFYYD3FBTPH6FPSDAOKQTB', 'predicate': {'not': {'abs_before': '2024-01-03T00:47:16Z', 'abs_before_epoch': '1704242836'}}}, {'destination': 'GDFOTCAM6AXL6XNOOPB5VI4FQBYENAWYIDOJOCHKBBKUUPHZPXAS2JLN', 'predicate': {'unconditional': True}}]",{'clawback_enabled': True},49730999-0000000071feabec106f0bafcbcb8070b38f9d51e2d67a365c6b560f7b6873c4c4b2761e
1,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000e898bd51c3d984c7203e51e8dbc2bf0022cf078cb12bc2d6b672658fdb0d809c'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000e898bd51c3d984c7203e51e8dbc2bf0022cf078cb12bc2d6b672658fdb0d809c/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000e898bd51c3d984c7203e51e8dbc2bf0022cf078cb12bc2d6b672658fdb0d809c/operations{?cursor,limit,order}', 'templated': True}}",00000000e898bd51c3d984c7203e51e8dbc2bf0022cf078cb12bc2d6b672658fdb0d809c,XXRP:GAAZ623DSV5BGDADH4BTEZTPJIXDIVRY2CCE7A47JOUQDQRAQVT4CFCP,500.0000000,GDRK7M7FVD3TOUKT72D7ZWCT3X4K6ZDPXVCML2J3UPXOXAQUEPXSRBCG,49730996,2024-01-02T00:47:02Z,"[{'destination': 'GDRK7M7FVD3TOUKT72D7ZWCT3X4K6ZDPXVCML2J3UPXOXAQUEPXSRBCG', 'predicate': {'not': {'abs_before': '2024-01-03T00:47:00Z', 'abs_before_epoch': '1704242820'}}}, {'destination': 'GCVEON7LARMBNCCJCYLXO4FNFENL6R74NWCC2V6YZN5Z6L5W4GUZDMWC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': True},49730996-00000000e898bd51c3d984c7203e51e8dbc2bf0022cf078cb12bc2d6b672658fdb0d809c
2,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/0000000041f50d04d666ac7524b0ae6083a37a66c7ac5e7ac8983d44904aa17b3e83b55a'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/0000000041f50d04d666ac7524b0ae6083a37a66c7ac5e7ac8983d44904aa17b3e83b55a/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/0000000041f50d04d666ac7524b0ae6083a37a66c7ac5e7ac8983d44904aa17b3e83b55a/operations{?cursor,limit,order}', 'templated': True}}",0000000041f50d04d666ac7524b0ae6083a37a66c7ac5e7ac8983d44904aa17b3e83b55a,BCH:GD5L3YGOJSUXTL6VEKA4BXRQFX3XYUVG2JYGYHXDVNFIJF3YUO5OCBNU,0.1933880,GBHWBXRZ4ZWDKLDZ7OWRR7KCB6ZUS5TO5YUQ6FJAS6OC2OQX7PB7JUFD,49730994,2024-01-02T00:46:51Z,"[{'destination': 'GBHWBXRZ4ZWDKLDZ7OWRR7KCB6ZUS5TO5YUQ6FJAS6OC2OQX7PB7JUFD', 'predicate': {'not': {'abs_before': '2024-01-03T00:46:48Z', 'abs_before_epoch': '1704242808'}}}, {'destination': 'GDNMCIZBM46K2OXDX6B3UYGMKVU2MMBWAHSQFW2ZXCS2QCSXK5P322G3', 'predicate': {'unconditional': True}}]",{'clawback_enabled': True},49730994-0000000041f50d04d666ac7524b0ae6083a37a66c7ac5e7ac8983d44904aa17b3e83b55a
3,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000ff5040ba5b7e9f37ac1815b376d52511bf8502b2e69a40d6f56a3cf5800a3ffc'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000ff5040ba5b7e9f37ac1815b376d52511bf8502b2e69a40d6f56a3cf5800a3ffc/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000ff5040ba5b7e9f37ac1815b376d52511bf8502b2e69a40d6f56a3cf5800a3ffc/operations{?cursor,limit,order}', 'templated': True}}",00000000ff5040ba5b7e9f37ac1815b376d52511bf8502b2e69a40d6f56a3cf5800a3ffc,XBNB:GB7C4KKJVWAJGKX432JY3VKQKS2VEU42SMZ5C3YAE7LFABY57VEML3B6,0.0230000,GD4FAEDSLKDT2F5VQWWNK745MGGRC4BKSHLFYYD3FBTPH6FPSDAOKQTB,49730992,2024-01-02T00:46:39Z,"[{'destination': 'GD4FAEDSLKDT2F5VQWWNK745MGGRC4BKSHLFYYD3FBTPH6FPSDAOKQTB', 'predicate': {'not': {'abs_before': '2024-01-03T00:46:34Z', 'abs_before_epoch': '1704242794'}}}, {'destination': 'GDFOTCAM6AXL6XNOOPB5VI4FQBYENAWYIDOJOCHKBBKUUPHZPXAS2JLN', 'predicate': {'unconditional': True}}]",{'clawback_enabled': True},49730992-00000000ff5040ba5b7e9f37ac1815b376d52511bf8502b2e69a40d6f56a3cf5800a3ffc
4,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000dc79c76a71d7b9386baa7f08679b1ca84e10a6af68b09a484a3b3db7544384b7'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000dc79c76a71d7b9386baa7f08679b1ca84e10a6af68b09a484a3b3db7544384b7/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000dc79c76a71d7b9386baa7f08679b1ca84e10a6af68b09a484a3b3db7544384b7/operations{?cursor,limit,order}', 'templated': True}}",00000000dc79c76a71d7b9386baa7f08679b1ca84e10a6af68b09a484a3b3db7544384b7,DBlueOnyx:GC5DAJAIYNB5ZJSCYNLIXIZVKIIWEMQHFISXFNZMIHE3YN3SVJG5ONYX,2.0000000,GDJSMW5YLEVLUVO3IDNTA2XUNAQKQMKKETOZCFSO5UFPUGZBAMH7MR2Z,49730988,2024-01-02T00:46:15Z,"[{'destination': 'GDJSMW5YLEVLUVO3IDNTA2XUNAQKQMKKETOZCFSO5UFPUGZBAMH7MR2Z', 'predicate': {'not': {'abs_before': '2024-01-03T00:46:12Z', 'abs_before_epoch': '1704242772'}}}, {'destination': 'GANFWJMZ2XNFPH6TTKSYFSXFIP5QHLSTDRQA47MPLIW7NLDXRDX2RHDM', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49730988-00000000dc79c76a71d7b9386baa7f08679b1ca84e10a6af68b09a484a3b3db7544384b7
5,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f71300f91b9360687e63b47aac09acd56d0510073228f2324ef3707b9dd46c52'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f71300f91b9360687e63b47aac09acd56d0510073228f2324ef3707b9dd46c52/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000f71300f91b9360687e63b47aac09acd56d0510073228f2324ef3707b9dd46c52/operations{?cursor,limit,order}', 'templated': True}}",00000000f71300f91b9360687e63b47aac09acd56d0510073228f2324ef3707b9dd46c52,NABU:GCYVCYS772DF2GJ376O4UQPRUD2GDS5NKY3DMW7L5R62PLR5WWNF7QFB,1.9990000,GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC,49730987,2024-01-02T00:46:09Z,"[{'destination': 'GDXLRHAEEQ5EZELMYJQFDC4QWSRHSYNNC7ER2AUYUHDME2OFPGRMJLF5', 'predicate': {'unconditional': True}}, {'destination': 'GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49730987-00000000f71300f91b9360687e63b47aac09acd56d0510073228f2324ef3707b9dd46c52
6,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000d59575cef6ca259b7374cdc9ae4d93ce5fe101c3c7ea62a80af579b9d9dcddae'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000d59575cef6ca259b7374cdc9ae4d93ce5fe101c3c7ea62a80af579b9d9dcddae/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000d59575cef6ca259b7374cdc9ae4d93ce5fe101c3c7ea62a80af579b9d9dcddae/operations{?cursor,limit,order}', 'templated': True}}",00000000d59575cef6ca259b7374cdc9ae4d93ce5fe101c3c7ea62a80af579b9d9dcddae,NABU:GCYVCYS772DF2GJ376O4UQPRUD2GDS5NKY3DMW7L5R62PLR5WWNF7QFB,1.9990000,GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC,49730987,2024-01-02T00:46:09Z,"[{'destination': 'GC7I6JKDKKLVLMJZTVNGXM54REILPJV5HPGAT223P46ZQ24YLT5GYC3N', 'predicate': {'unconditional': True}}, {'destination': 'GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49730987-00000000d59575cef6ca259b7374cdc9ae4d93ce5fe101c3c7ea62a80af579b9d9dcddae
7,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000ce53bbc75f31e7cd4699ff789a36cfd0b938c9800964ec1c9ab06887744f49a5'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000ce53bbc75f31e7cd4699ff789a36cfd0b938c9800964ec1c9ab06887744f49a5/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000ce53bbc75f31e7cd4699ff789a36cfd0b938c9800964ec1c9ab06887744f49a5/operations{?cursor,limit,order}', 'templated': True}}",00000000ce53bbc75f31e7cd4699ff789a36cfd0b938c9800964ec1c9ab06887744f49a5,NABU:GCYVCYS772DF2GJ376O4UQPRUD2GDS5NKY3DMW7L5R62PLR5WWNF7QFB,1.9990000,GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC,49730987,2024-01-02T00:46:09Z,"[{'destination': 'GCEMXQND5LPR3DZS443YCYTNDUYBTSMCQ4E56R2CRZVRMPP7G63NOPDY', 'predicate': {'unconditional': True}}, {'destination': 'GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49730987-00000000ce53bbc75f31e7cd4699ff789a36cfd0b938c9800964ec1c9ab06887744f49a5
8,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000c4da9fd6b29b06728b087570f617c0306f6c738da9a1d98cf565d2344d101981'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000c4da9fd6b29b06728b087570f617c0306f6c738da9a1d98cf565d2344d101981/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000c4da9fd6b29b06728b087570f617c0306f6c738da9a1d98cf565d2344d101981/operations{?cursor,limit,order}', 'templated': True}}",00000000c4da9fd6b29b06728b087570f617c0306f6c738da9a1d98cf565d2344d101981,NABU:GCYVCYS772DF2GJ376O4UQPRUD2GDS5NKY3DMW7L5R62PLR5WWNF7QFB,1.9990000,GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC,49730987,2024-01-02T00:46:09Z,"[{'destination': 'GBLUFPGSXVFUELNKPDOPQ2DTRQUYKFWLYWSR5YZ5E5WE3QQWJPRWREH6', 'predicate': {'unconditional': True}}, {'destination': 'GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49730987-00000000c4da9fd6b29b06728b087570f617c0306f6c738da9a1d98cf565d2344d101981
9,"{'self': {'href': 'https://horizon.stellar.org/claimable_balances/00000000bf71765a38bda4ff8fdfdddc4ae9a51f5ee10415c9da01d2d106a857d4291b57'}, 'transactions': {'href': 'https://horizon.stellar.org/claimable_balances/00000000bf71765a38bda4ff8fdfdddc4ae9a51f5ee10415c9da01d2d106a857d4291b57/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/claimable_balances/00000000bf71765a38bda4ff8fdfdddc4ae9a51f5ee10415c9da01d2d106a857d4291b57/operations{?cursor,limit,order}', 'templated': True}}",00000000bf71765a38bda4ff8fdfdddc4ae9a51f5ee10415c9da01d2d106a857d4291b57,NABU:GCYVCYS772DF2GJ376O4UQPRUD2GDS5NKY3DMW7L5R62PLR5WWNF7QFB,1.9990000,GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC,49730987,2024-01-02T00:46:09Z,"[{'destination': 'GDJ2RXVTL6FRMXUH5LHMRTZAKTTSHWUJTE44JWRWLCUY5UMCTXQ5KO23', 'predicate': {'unconditional': True}}, {'destination': 'GCOE4TZTVF4PKB5OTK3TOCYOKKOPQ7P7CL76KE2TXXUIHW5ISCQQAQCC', 'predicate': {'unconditional': True}}]",{'clawback_enabled': False},49730987-00000000bf71765a38bda4ff8fdfdddc4ae9a51f5ee10415c9da01d2d106a857d4291b57
