price_r,price,amount
"{'n': 947867, 'd': 10000000}",0.0947867,182.0056999
"{'n': 10000000, 'd': 105520891}",0.0947680,7.1109883
"{'n': 9503, 'd': 100279}",0.0947656,1.1000000
"{'n': 23467, 'd': 247643}",0.0947614,0.1000000
"{'n': 10000000, 'd': 105602971}",0.0946943,0.0946943
"{'n': 1250000, 'd': 13201207}",0.0946883,18.9376623
"{'n': 200000, 'd': 2112379}",0.0946800,8.4845500
"{'n': 5000000, 'd': 52817087}",0.0946663,0.0010281
"{'n': 158697356, 'd': 1676521413}",0.0946587,236.6467776
"{'n': 2500000, 'd': 26410673}",0.0946587,26.7369487
"{'n': 5000000, 'd': 52822287}",0.0946570,0.0946570
"{'n': 1000000, 'd': 10565051}",0.0946517,0.0946517
"{'n': 1250000, 'd': 13212263}",0.0946091,10.8246300
"{'n': 80147059, 'd': 847437284}",0.0945758,4298.7815768
"{'n': 68, 'd': 719}",0.0945758,199.9999999
"{'n': 2481, 'd': 26233}",0.0945755,0.1000000
"{'n': 10000000, 'd': 105751979}",0.0945609,228.6313895
"{'n': 10000000, 'd': 105780483}",0.0945354,13.1190448
"{'n': 10000000, 'd': 105795817}",0.0945217,0.0046497
"{'n': 189, 'd': 2000}",0.0945000,3.7800000
"{'n': 10000000, 'd': 105419403}",0.0948592,203.8302954
"{'n': 26811131, 'd': 282641340}",0.0948592,2465.7851804
"{'n': 155, 'd': 1634}",0.0948592,2102.8819937
"{'n': 7411, 'd': 78125}",0.0948608,201.0000000
"{'n': 118601, 'd': 1250000}",0.0948808,100.0000000
"{'n': 47451, 'd': 500000}",0.0949020,1233.3333323
"{'n': 23727, 'd': 250000}",0.0949080,10514.3633330
"{'n': 949081, 'd': 10000000}",0.0949081,1.0000000
"{'n': 66745499, 'd': 703124497}",0.0949270,54212.1640711
"{'n': 94927, 'd': 1000000}",0.0949270,12158.9424990
"{'n': 474641, 'd': 5000000}",0.0949282,100.0000000
"{'n': 189911, 'd': 2000000}",0.0949555,1.0000000
"{'n': 237439, 'd': 2500000}",0.0949756,100.0000000
"{'n': 144914713, 'd': 1525624213}",0.0949872,49.8042161
"{'n': 74, 'd': 779}",0.0949936,12632.4324314
"{'n': 950029, 'd': 10000000}",0.0950029,1.0000000
"{'n': 95023, 'd': 1000000}",0.0950230,100.0000000
"{'n': 475221, 'd': 5000000}",0.0950442,431.2773647
"{'n': 5000000, 'd': 52606567}",0.0950452,16.3276149
"{'n': 2500000, 'd': 26297853}",0.0950648,204.0793833
