,trade_id,price,amount,price_r,amount_r
0,,"{'n': '2000000', 'd': '212682347'}",,,
1,,"{'n': '10000000', 'd': '194974303'}",,,
2,,"{'n': '5000000', 'd': '2756861'}",,,
3,,"{'n': '5000000', 'd': '28118861'}",,,
4,,"{'n': '10000000', 'd': '21297'}",,,
5,,"{'n': '10000000', 'd': '331993'}",,,
6,,"{'n': '5000000', 'd': '426723'}",,,
7,,"{'n': '10000000', 'd': '12557767'}",,,
8,,"{'n': '1000000', 'd': '37491'}",,,
9,,"{'n': '10000000', 'd': '10208997'}",,,
10,,"{'n': '10000000', 'd': '130691719'}",,,
11,,"{'n': '5000000', 'd': '67949'}",,,
12,,"{'n': '1000000', 'd': '520271'}",,,
13,,"{'n': '100000', 'd': '181603'}",,,
14,,"{'n': '2500000', 'd': '4866387'}",,,
15,,"{'n': '5000000', 'd': '387541'}",,,
16,,"{'n': '156250', 'd': '565173'}",,,
17,,"{'n': '10000000', 'd': '35247'}",,,
18,,"{'n': '2000000', 'd': '5334079'}",,,
19,,"{'n': '10000000', 'd': '2968427'}",,,
20,,"{'n': '250000', 'd': '19373'}",,,
21,,"{'n': '2000000', 'd': '1947569'}",,,
22,,"{'n': '10000000', 'd': '5962601'}",,,
23,,"{'n': '5000000', 'd': '12086663'}",,,
24,,"{'n': '2000000', 'd': '4911853'}",,,
25,,"{'n': '526', 'd': '208359'}",,,
26,,"{'n': '526', 'd': '27490'}",,,
27,,"{'n': '13248250', 'd': '99999000'}",,,
28,,"{'n': '550', 'd': '1'}",,,
29,,"{'n': '500', 'd': '1'}",,,
30,,"{'n': '499999', 'd': '1000'}",,,
31,,"{'n': '100000000', 'd': '99999990'}",,,
32,,"{'n': '13248250', 'd': '99999000'}",,,
33,,"{'n': '650000576', 'd': '169'}",,,
34,,"{'n': '10000000', 'd': '1'}",,,
35,,"{'n': '2000000', 'd': '22213953'}",,,
36,,"{'n': '5000000', 'd': '357407'}",,,
37,,"{'n': '2000000', 'd': '157939'}",,,
38,,"{'n': '40000', 'd': '602313'}",,,
39,,"{'n': '10000000', 'd': '89241091'}",,,
40,,"{'n': '5000000', 'd': '8299629'}",,,
41,,"{'n': '2500000', 'd': '1592729'}",,,
42,,"{'n': '10000000', 'd': '71955681'}",,,
43,,"{'n': '5000000', 'd': '8675001'}",,,
44,,"{'n': '5125', 'd': '153025439'}",,,
45,,"{'n': '10000000', 'd': '6387961'}",,,
46,,"{'n': '1000000', 'd': '11992509'}",,,
47,,"{'n': '25000', 'd': '53799'}",,,
48,,"{'n': '78125', 'd': '66768'}",,,
49,,"{'n': '5000000', 'd': '41066839'}",,,
50,,"{'n': '10000000', 'd': '911321'}",,,
51,,"{'n': '5000000', 'd': '23'}",,,
52,,"{'n': '10000000', 'd': '530590313'}",,,
53,,"{'n': '10000000', 'd': '11857829'}",,,
54,,"{'n': '10000000', 'd': '851312237'}",,,
55,,"{'n': '10000000', 'd': '408551'}",,,
56,,"{'n': '5000000', 'd': '4141329'}",,,
57,,"{'n': '400000', 'd': '21127'}",,,
58,,"{'n': '10000000', 'd': '2096761'}",,,
59,,"{'n': '2000000', 'd': '535301'}",,,
60,,"{'n': '500000', 'd': '101693'}",,,
61,,"{'n': '10000000', 'd': '985964001'}",,,
62,,"{'n': '5000000', 'd': '33497'}",,,
63,,"{'n': '625000', 'd': '934119981'}",,,
64,,"{'n': '19186', 'd': '597250273'}",,,
65,,"{'n': '10000000', 'd': '1'}",,,
66,,"{'n': '47542', 'd': '111'}",,,
67,,"{'n': '100000000', 'd': '99999990'}",,,
68,,"{'n': '1324825', 'd': '10000000'}",,,
69,,"{'n': '10005000', 'd': '1'}",,,
70,,"{'n': '126642000', 'd': '126716620'}",,,
71,,"{'n': '9357415', 'd': '47482457'}",,,
72,,"{'n': '2000000000', 'd': '1343905981'}",,,
73,,"{'n': '1324825', 'd': '10000000'}",,,
74,,"{'n': '187441650302', 'd': '2994150'}",,,
75,,"{'n': '200000', 'd': '1'}",,,
76,,"{'n': '699076769', 'd': '1105374366'}",,,
77,,"{'n': '40', 'd': '191'}",,,
78,,"{'n': '1324825', 'd': '10000000'}",,,
79,,"{'n': '5000000', 'd': '7504643'}",,,
80,,"{'n': '2000000', 'd': '192822707'}",,,
81,,"{'n': '10000000', 'd': '225295603'}",,,
82,,"{'n': '10000000', 'd': '74139153'}",,,
83,,"{'n': '10000000', 'd': '7087143'}",,,
84,,"{'n': '52993000', 'd': '92779281'}",,,
85,,"{'n': '1324825', 'd': '10000000'}",,,
86,,"{'n': '10000000', 'd': '1'}",,,
87,,"{'n': '10000000', 'd': '1'}",,,
88,,"{'n': '10000000', 'd': '1'}",,,
89,,"{'n': '25000000', 'd': '3'}",,,
90,,"{'n': '8188229', 'd': '1'}",,,
91,,"{'n': '350000128', 'd': '49'}",,,
92,,"{'n': '5000000', 'd': '18577699'}",,,
93,,"{'n': '2500000', 'd': '206997541'}",,,
94,,"{'n': '10000000', 'd': '8492119'}",,,
95,,"{'n': '2500000', 'd': '37250731'}",,,
96,,"{'n': '10000000', 'd': '209417'}",,,
97,,"{'n': '10000000', 'd': '1727603'}",,,
98,,"{'n': '2500000', 'd': '303863'}",,,
99,,"{'n': '2500000', 'd': '7966067'}",,,
