_links,id,paging_token,hash,prev_hash,sequence,successful_transaction_count,failed_transaction_count,operation_count,tx_set_operation_count,closed_at,total_coins,fee_pool,base_fee_in_stroops,base_reserve_in_stroops,max_tx_set_size,protocol_version,header_xdr
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176561'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176561/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176561/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176561/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176561/effects{?cursor,limit,order}', 'templated': True}}",2be8fe567b2bc25d2a3e3d2090f7f72aad395208edef23353d6952877516a126,202621786632749056,2be8fe567b2bc25d2a3e3d2090f7f72aad395208edef23353d6952877516a126,ba0cf4c3e4d05d2f6f4038d0d1de7fb36532e049b42d7dd57d6ece5207700114,47176561,49,291,698,1000,2023-07-13T05:36:03Z,105443902087.3472865,4101641.1499354,100,5000000,1000,19,AAAAE7oM9MPk0F0vb0A40NHef7NlMuBJtC191X1uzlIHcAEUYIQhOgKkywBBfU6990mWHDhrE3AYvbR2hMc4IeOEKgMAAAAAZK+NQwAAAAAAAAABAAAAAAFdGFUq2t7rTo0wWu9k/6rxa0T+pf6CHmBj2vO56O1XAAAAQLp0Wf694udiIslUDFCYZybwsbWSqsIlRgMKHCJ1xjXRDS1S+xLXwG66h+iKvz4h8LBYysZtLb4gCxhIuDactA8Tz7DPdvPSZ5MBbv7sAtLHx+Xhvb2DtvN+6WUGQeTcpngOhr5xtNav19kqqc8mcDjomJyAcD/pu54+Z8PBHiNwAs/bcQ6iHrPseVthAAAlTeCjK1oAAAEWAAAAAE11d2YAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176562'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176562/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176562/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176562/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176562/effects{?cursor,limit,order}', 'templated': True}}",f8aaaa11f8c9d0574a9a090e54cf3dd5b3624966aff42a4086465cedaf16e150,202621790927716352,f8aaaa11f8c9d0574a9a090e54cf3dd5b3624966aff42a4086465cedaf16e150,2be8fe567b2bc25d2a3e3d2090f7f72aad395208edef23353d6952877516a126,47176562,71,307,649,1000,2023-07-13T05:36:09Z,105443902087.3472865,4101641.6499354,100,5000000,1000,19,AAAAEyvo/lZ7K8JdKj49IJD39yqtOVII7e8jNT1pUod1FqEmWaRUR7GPzbxaviy96EivpSfPvHlBvwEmSXLZe6rL6g4AAAAAZK+NSQAAAAAAAAABAAAAACtw/kFMcHkbypQPj/G/SAsV8eWuRNtbQIo9kimhTJklAAAAQMI5OK5rwNleiB2vJvlvnEq4ku/7eRNZwtsOnpzBg7vubTnn/7aVV1tkgoh/SsvOTy124FngorUbBQUMauh/jgTV0TXqtNr86Px7UBX1jqpmcH8CgMTozzvEfCbLSChKgvdNHob/4jQSDR1zxHNyaN9zscNMbkKnPOQkpqt+Eid8As/bcg6iHrPseVthAAAlTeDvdpoAAAEWAAAAAE11d2sAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176563'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176563/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176563/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176563/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176563/effects{?cursor,limit,order}', 'templated': True}}",a855191fc9c2e146e1f30ef495242467dd6a66dffeca231e45da596dd3fbd46a,202621795222683648,a855191fc9c2e146e1f30ef495242467dd6a66dffeca231e45da596dd3fbd46a,f8aaaa11f8c9d0574a9a090e54cf3dd5b3624966aff42a4086465cedaf16e150,47176563,48,112,718,1000,2023-07-13T05:36:14Z,105443902087.3472865,4101642.1499354,100,5000000,1000,19,AAAAE/iqqhH4ydBXSpoJDlTPPdWzYklmr/QqQIZGXO2vFuFQ3pBAR7THrzCus925hfRg6F+009bwDPkVcMMio566RIcAAAAAZK+NTgAAAAAAAAABAAAAADPN/Tz0hFfkg11MNisvWV3/3TyFQUjJNY5VqfZfvQp7AAAAQH8S1IGIJ+ezkmZfUKN5LY0FJedW3whof6tgS1Hz9W3lSJ+gKcK5KcqurphLzy4TMBb2asHdcXLCdS/aZ9bDvQ/vUnxmh0kA84hA5EojXTZ+FBRwQlsYI5iHmavGsbKn36ftO2ES8BeoRhlhzg0Due5TIroOZRbdZuUT1274CwIfAs/bcw6iHrPseVthAAAlTeE7wdoAAAEWAAAAAE11d3AAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176564'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176564/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176564/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176564/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176564/effects{?cursor,limit,order}', 'templated': True}}",059f7780222ba3c23c271248067d5eace8d5fade18ae3d0634927f19db66957f,202621799517650944,059f7780222ba3c23c271248067d5eace8d5fade18ae3d0634927f19db66957f,a855191fc9c2e146e1f30ef495242467dd6a66dffeca231e45da596dd3fbd46a,47176564,81,350,527,1000,2023-07-13T05:36:20Z,105443902087.3472865,4101642.6499354,100,5000000,1000,19,AAAAE6hVGR/JwuFG4fMO9JUkJGfdambf/sojHkXaWW3T+9RqhE5k5uwnk8Jw5g2lUlDkL71Iu0wY8Ik9U+XFLmHnJpAAAAAAZK+NVAAAAAAAAAABAAAAAFaWt2CucvNouAYniCiCbacMYpTGlVK3TqKyoNF3RcOeAAAAQMRWPEXolEdPyeW+PAH+RBvAnYOEC/fiq77RkblE8OWsUo0B9ne4F57KYm7KSLwNcmrY8xPgpbH27FMxlNw4+wB/4X16h78N5WCgo+wftIc0q7hQhNusDLw01yMtYF4Yp0hwtgDLvXXRb7YQEGRjj5ULpUx8zqae/FItoroYpYt2As/bdA6iHrPseVthAAAlTeGIDRoAAAEWAAAAAE11d8gAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176565'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176565/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176565/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176565/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176565/effects{?cursor,limit,order}', 'templated': True}}",ab9e138ac9678e7f6548663eee3b1c383e456dcb7262db67cd5c19270e71ce4b,202621803812618240,ab9e138ac9678e7f6548663eee3b1c383e456dcb7262db67cd5c19270e71ce4b,059f7780222ba3c23c271248067d5eace8d5fade18ae3d0634927f19db66957f,47176565,44,262,737,1000,2023-07-13T05:36:25Z,105443902087.3472865,4101643.1499354,100,5000000,1000,19,AAAAEwWfd4AiK6PCPCcSSAZ9Xqzo1freGK49BjSSfxnbZpV/CFqeaz9VangNy1uyVj4LUhMUgg0KdRYqkJZF7jiEejoAAAAAZK+NWQAAAAAAAAABAAAAAD8yPEEcFI+mC4b5mkYsVzg64Eg1bwhZsrAJCPlB4VggAAAAQKyL3KGJEVLeW2rf3MBaTGliU+ldj1FRBHFOWrsMNcbNLTKOP2NOMTW18Y4IhldyW2lPU4NymM7b7EgAhb5BHw+21tW161k5D8sm7TRoB2or4G/vJJw0vbQjmHq9LS8p0EPnyxHF9VErQG27R6md34A20WAiK71l4xrzZJUZKv7nAs/bdQ6iHrPseVthAAAlTeHUWFoAAAEWAAAAAE11d8kAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176566'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176566/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176566/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176566/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176566/effects{?cursor,limit,order}', 'templated': True}}",55ed557455a9fbaba95c7561d6bd8bef173a100fd0308a0e43ae6c033e8707fb,202621808107585536,55ed557455a9fbaba95c7561d6bd8bef173a100fd0308a0e43ae6c033e8707fb,ab9e138ac9678e7f6548663eee3b1c383e456dcb7262db67cd5c19270e71ce4b,47176566,66,448,422,1000,2023-07-13T05:36:32Z,105443902087.3472865,4101643.6499354,100,5000000,1000,19,AAAAE6ueE4rJZ45/ZUhmPu47HDg+RW3LcmLbZ81cGScOcc5LnFxtkHMkSgl6Gi+evrPljkK7+qLgO87K1D/FsxgU7bAAAAAAZK+NYAAAAAAAAAABAAAAAAFdGFUq2t7rTo0wWu9k/6rxa0T+pf6CHmBj2vO56O1XAAAAQDZHZDLsOjjwUoi+6LHeHwS/DHp11itMYXKVl8obyQIHYNHCXXRbeOz7Frp1NqJedOX/W0KFvcVDCuVaEojyogZLyMG9VY/MmDQK6dogI4QBf24ItGvusNPkh4lbymMDauGO4X3a7F0vwIVt8HNDJvbzuKgIIFZ67lJKFWkw/LdPAs/bdg6iHrPseVthAAAlTeIgo5oAAAEWAAAAAE11d88AAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176567'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176567/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176567/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176567/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176567/effects{?cursor,limit,order}', 'templated': True}}",e609ea79cdc4ad588786bb0a59f4604d36518dd18c7601e670045b453e0104c0,202621812402552832,e609ea79cdc4ad588786bb0a59f4604d36518dd18c7601e670045b453e0104c0,55ed557455a9fbaba95c7561d6bd8bef173a100fd0308a0e43ae6c033e8707fb,47176567,64,94,905,1000,2023-07-13T05:36:38Z,105443902087.3472865,4101644.1511354,100,5000000,1000,19,AAAAE1XtVXRVqfurqVx1Yda9i+8XOhAP0DCKDkOubAM+hwf7sLtW3W/f1FOnd6vSfD4tii8LlKD/b6qDr8PT9M7PnGUAAAAAZK+NZgAAAAAAAAABAAAAADsphZX0B3KMw/aYQ61nzN40f/TbyuHqRF07FIzwsGPWAAAAQBddnNZAwS8E3QMcHJMmGJd3OqMmDKhemMKF9L441XO2dw4h9Xg1HdGUUYk2+sRUv+RC/w3+mJGrVMdRck9SUAij0dg40QjBuFa19s6+9pbpqHyq/yk5G5vussiD393XnorvAQztsVlcFMLUNrOUHnfS8S5Skwxs0zLSHTiyEkorAs/bdw6iHrPseVthAAAlTeJtHboAAAEWAAAAAE11d9AAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176568'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176568/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176568/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176568/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176568/effects{?cursor,limit,order}', 'templated': True}}",36f30bae3b4fe5c7f264cab2a67c4a6e76ebfbf822eb043231e0f9bb9a3dcae2,202621816697520128,36f30bae3b4fe5c7f264cab2a67c4a6e76ebfbf822eb043231e0f9bb9a3dcae2,e609ea79cdc4ad588786bb0a59f4604d36518dd18c7601e670045b453e0104c0,47176568,59,294,502,1000,2023-07-13T05:36:44Z,105443902087.3472865,4101644.6511354,100,5000000,1000,19,AAAAE+YJ6nnNxK1Yh4a7Cln0YE02UY3RjHYB5nAEW0U+AQTAFZqAyNQXVNYkzYPOMowzUS94Oq0Ypv7J4aT+DSvD2n8AAAAAZK+NbAAAAAAAAAABAAAAAALFJZ5Gu3RxX6evZlFupBENfCKbFy8HGJOsqYaXrFMrAAAAQJHnCANb3EyEWtPTpllOOOlqiKAO91wys7jwyGVPseaDrPjPJbrvOVwOwUnqKAYPyXUlm2lgfJC7T0r/oZEBSQLINZKQey5R1nG/2AuNa9lcZ9H111cCF8z0fzeINET1/Jgx5T2Cz57EJLd0gKYpCOAsy85/jpPbrXkrbj0P3W15As/beA6iHrPseVthAAAlTeK5aPoAAAEWAAAAAE11d+QAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176569'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176569/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176569/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176569/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176569/effects{?cursor,limit,order}', 'templated': True}}",17b243f126d90d64b360b192414db15bd20b5861e18cf1e3ba99f1dfae8cdc71,202621820992487424,17b243f126d90d64b360b192414db15bd20b5861e18cf1e3ba99f1dfae8cdc71,36f30bae3b4fe5c7f264cab2a67c4a6e76ebfbf822eb043231e0f9bb9a3dcae2,47176569,82,170,818,1000,2023-07-13T05:36:50Z,105443902087.3472865,4101645.1511354,100,5000000,1000,19,AAAAEzbzC647T+XH8mTKsqZ8Sm526/v4IusEMjHg+buaPcrif7E6P6HoJ5TEKG6enNJ2SmVG4M6bx5ntrv9FT61NxvgAAAAAZK+NcgAAAAAAAAABAAAAADPN/Tz0hFfkg11MNisvWV3/3TyFQUjJNY5VqfZfvQp7AAAAQPwQR27b+LgW7MDFPzroUo6bYeTVaIu+01EPCa6suxLmgxOFStBn56+qkMJPswdhBOkC6Q0MIME3bjVGcoc0KA4CUYDa9MIvbix5D4K1v/dfdeB4qB3hw/NG6dcCU3z9dTID/waBdlhMbGim6oDFlHCxUujVyTp9KPiOqZbdM/lMAs/beQ6iHrPseVthAAAlTeMFtDoAAAEWAAAAAE11eIcAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
"{'self': {'href': 'https://horizon.stellar.org/ledgers/47176570'}, 'transactions': {'href': 'https://horizon.stellar.org/ledgers/47176570/transactions{?cursor,limit,order}', 'templated': True}, 'operations': {'href': 'https://horizon.stellar.org/ledgers/47176570/operations{?cursor,limit,order}', 'templated': True}, 'payments': {'href': 'https://horizon.stellar.org/ledgers/47176570/payments{?cursor,limit,order}', 'templated': True}, 'effects': {'href': 'https://horizon.stellar.org/ledgers/47176570/effects{?cursor,limit,order}', 'templated': True}}",a5fc79b6b198bb8291e93fa7b2d92d785112ef7a0485ba43672c2be688c50c73,202621825287454720,a5fc79b6b198bb8291e93fa7b2d92d785112ef7a0485ba43672c2be688c50c73,17b243f126d90d64b360b192414db15bd20b5861e18cf1e3ba99f1dfae8cdc71,47176570,62,329,619,1000,2023-07-13T05:36:55Z,105443902087.3472865,4101645.6511354,100,5000000,1000,19,AAAAExeyQ/Em2Q1ks2CxkkFNsVvSC1hh4Yzx47qZ8d+ujNxxwBtcEHn9xyuvmg/dz1PEjYWW064ot23cR1e7zo7loyUAAAAAZK+NdwAAAAAAAAABAAAAAAaweClXqq3sjNIHBm/r6o1RY6yR5HqkHJCaZtEEdMUfAAAAQIs3RvgGbUbQ5RshzACea8PIECiMmmbsYhq0t68+1HYL09uBMjxvlOrCtTnFzS5cz7OTSsgs5w8IqPLXFl6sRQrMDOlqTQfmxQbBIK10H8Is3UXbe09n9pxXJnXrYdkvBIfyif3gBduBk6jiM0nyekDg6PZBa9mMXparsJmn4Z/HAs/beg6iHrPseVthAAAlTeNR/3oAAAEWAAAAAE11eIoAAABkAExLQAAAA+hWELIldhOZv+ijzNg5u/SidDgIAe+DFvM0vtB1l18qzABFqcdHq5aqf8Jb/mWRc4NRHl5MLWDQH+bi/rEh7ls9Bh0QxCa/otceRmlG3IB0EWxGaxDPW171x61CbZHTi445PMez6tWzGN9OKxAwBXT/oHrhJCtZnkOrvpfkWqB9wgAAAAA=
