,offer_id,offer_type,price,amount,price_r,amount_r
0,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
1,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
2,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
3,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
4,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
5,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
6,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
7,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
8,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
9,,,0.0000001,10000000000.0000000,"{'n': 1, 'd': 10000000}",
