_links,id,paging_token,ledger_close_time,trade_type,base_offer_id,base_account,base_amount,base_asset_type,counter_offer_id,counter_account,counter_amount,counter_asset_type,counter_asset_code,counter_asset_issuer,base_is_seller,price,liquidity_pool_fee_bp,base_asset_code,base_asset_issuer,counter_liquidity_pool_id,base_liquidity_pool_id
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GB47SQZUKXYQZ7KVC47P655OWE76NY6SCOTRPZYL2LFV3BUZJ7Q7M2CY'}, 'operation': {'href': 'https://horizon.stellar.org/operations/214738293101768706'}}",214738293101768706-0,214738293101768706-0,2024-01-20T05:15:59Z,orderbook,1454927267,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,0.7575564,native,1454917713,GB47SQZUKXYQZ7KVC47P655OWE76NY6SCOTRPZYL2LFV3BUZJ7Q7M2CY,0.0861839,credit_alphanum4,USDC,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,False,"{'n': '100', 'd': '879'}",,,,,
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GBCFUJKFIBGC263IJDX4GLXQC2O4CECTNBJPP6QREQMYKLHCDPIDJ4YM'}, 'operation': {'href': 'https://horizon.stellar.org/operations/214738593751371777'}}",214738593751371777-0,214738593751371777-0,2024-01-20T05:23:08Z,orderbook,1454927267,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,8.7196559,native,4826424612178759681,GBCFUJKFIBGC263IJDX4GLXQC2O4CECTNBJPP6QREQMYKLHCDPIDJ4YM,0.9919973,credit_alphanum4,USDC,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,True,"{'n': '100', 'd': '879'}",,,,,
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GCX7CBCSH7KEGF7SHM7FCJX4WAAJ7FPK4566RPHBV4CHWW2PXJXCPIFO'}, 'operation': {'href': 'https://horizon.stellar.org/operations/214738623814377473'}}",214738623814377473-0,214738623814377473-0,2024-01-20T05:23:54Z,orderbook,1454927267,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,11.5469440,native,1454929966,GCX7CBCSH7KEGF7SHM7FCJX4WAAJ7FPK4566RPHBV4CHWW2PXJXCPIFO,1.3136455,credit_alphanum4,USDC,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,True,"{'n': '100', 'd': '879'}",,,,,
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'counter': {'href': 'https://horizon.stellar.org/liquidity_pools/960569e4e2456c7c9da41e3fcd9063a0edfdb4debd9c7eda620a6e9527eb68d2'}, 'operation': {'href': 'https://horizon.stellar.org/operations/214756739986706434'}}",214756739986706434-0,214756739986706434-0,2024-01-20T12:23:50Z,liquidity_pool,4826442758414094338,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,2.3918267,credit_alphanum4,,,0.0000574,credit_alphanum4,BTC,GDPJALI4AZKUU2W426U5WKMAT6CN3AJRPIIRYR2YM54TL2GDWO5O2MZM,False,"{'n': '574', 'd': '23918267'}",30.0,USDC,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,960569e4e2456c7c9da41e3fcd9063a0edfdb4debd9c7eda620a6e9527eb68d2,
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'counter': {'href': 'https://horizon.stellar.org/liquidity_pools/37e6d3f5dcd3ed7137698e6fad76a36a68c41a07d334cea3e2d42e9bcd7ce1a1'}, 'operation': {'href': 'https://horizon.stellar.org/operations/214756739986706434'}}",214756739986706434-1,214756739986706434-1,2024-01-20T12:23:50Z,liquidity_pool,4826442758414094338,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,0.0000574,credit_alphanum4,,,3710.0677293,credit_alphanum4,AQUA,GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA,False,"{'n': '37100677293', 'd': '574'}",30.0,BTC,GDPJALI4AZKUU2W426U5WKMAT6CN3AJRPIIRYR2YM54TL2GDWO5O2MZM,37e6d3f5dcd3ed7137698e6fad76a36a68c41a07d334cea3e2d42e9bcd7ce1a1,
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GDHMD4DZP46OP53EZ3PWKBSQMI7FNI2EAEB5TEPFURHTVSE5QBZMMKMV'}, 'operation': {'href': 'https://horizon.stellar.org/operations/214756825886187522'}}",214756825886187522-0,214756825886187522-0,2024-01-20T12:25:47Z,orderbook,4826442844313575426,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,19.9893288,native,1448740575,GDHMD4DZP46OP53EZ3PWKBSQMI7FNI2EAEB5TEPFURHTVSE5QBZMMKMV,0.0000546,credit_alphanum4,BTC,GDPJALI4AZKUU2W426U5WKMAT6CN3AJRPIIRYR2YM54TL2GDWO5O2MZM,False,"{'n': '5209', 'd': '1907040538'}",,,,,
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCMTBEE6MJA5S6BXG7PUCPM7XF2OSKUDRFCQKK6UR3KEU3TCQOUHS6F2'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'operation': {'href': 'https://horizon.stellar.org/operations/214781088156811265'}}",214781088156811265-4,214781088156811265-4,2024-01-20T21:36:56Z,orderbook,4826467106584199169,GCMTBEE6MJA5S6BXG7PUCPM7XF2OSKUDRFCQKK6UR3KEU3TCQOUHS6F2,5416.2108000,credit_alphanum12,1455140280,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,0.0000546,credit_alphanum4,BTC,GDPJALI4AZKUU2W426U5WKMAT6CN3AJRPIIRYR2YM54TL2GDWO5O2MZM,False,"{'n': '1', 'd': '99198000'}",,BTCLN,GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT,,
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/liquidity_pools/0b8aafefa1a40476e886929db7ad9ea038a5ade60584737c04045c6d018871f4'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'operation': {'href': 'https://horizon.stellar.org/operations/229531848392159233'}}",229531848392159233-0,229531848392159233-0,2024-09-11T03:13:24Z,liquidity_pool,,,2.2502077,credit_alphanum4,4841217866819547137,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,3710.0677293,credit_alphanum4,AQUA,GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA,True,"{'n': '37100677293', 'd': '22502077'}",30.0,USDC,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,,0b8aafefa1a40476e886929db7ad9ea038a5ade60584737c04045c6d018871f4
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCZFGQOZBTJH7DD2VR24RBLPV554SGDC7F33WU5MJ54HTJZGAUDB44ZA'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'operation': {'href': 'https://horizon.stellar.org/operations/229531848392159233'}}",229531848392159233-1,229531848392159233-1,2024-09-11T03:13:24Z,orderbook,1619309320,GCZFGQOZBTJH7DD2VR24RBLPV554SGDC7F33WU5MJ54HTJZGAUDB44ZA,24.2815619,native,4841217866819547137,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,2.2502077,credit_alphanum4,USDC,GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,True,"{'n': '25000000', 'd': '269770230'}",,,,,
"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GBAWAVWLH726XSPVVT4BD3WQTHN6BBHJF74PFUWSY6S5MN6OA7IWX3DL'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU'}, 'operation': {'href': 'https://horizon.stellar.org/operations/229638402236010497'}}",229638402236010497-0,229638402236010497-0,2024-09-12T19:05:24Z,orderbook,1619876862,GBAWAVWLH726XSPVVT4BD3WQTHN6BBHJF74PFUWSY6S5MN6OA7IWX3DL,33.5278662,native,4841324420663398401,GA4CIZX3QJADGZZKI7HUS6WVHBNIX3EUNUW4MZUDPK5FIW2E6LLVVHGU,5416.2108000,credit_alphanum12,BTCLN,GDPKQ2TSNJOFSEE7XSUXPWRP27H6GFGLWD7JCHNEYYWQVGFA543EVBVT,True,"{'n': '161543558', 'd': '1000000'}",,,,,
