,operation_id,operation_type,price,amount,price_r,amount_r
0,,,0.2160111,5.0317106,"{'n': 99999900, 'd': 462938721}",
1,,,856.7665656,31.0273234,"{'n': 1233760133, 'd': 1440019}",
2,,,0.0052671,6645.0260750,"{'n': 1000000, 'd': 189857895}",
3,,,,0.8894386,,
4,,,7.5042669,3.5882879,"{'n': 750426685, 'd': 100000000}",
5,,,0.0024961,10015.7617250,"{'n': 1000000, 'd': 400630564}",
6,,,0.0024961,10015.7617250,"{'n': 1000000, 'd': 400630564}",
7,,,,0.0000013,,
8,,,0.0042324,3341.4802450,"{'n': 1000000, 'd': 236274831}",
9,,,,,,
