,_links,id,paging_token,ledger_close_time,trade_type,base_offer_id,base_account,base_amount,base_asset_type,counter_offer_id,counter_account,counter_amount,counter_asset_type,counter_asset_code,counter_asset_issuer,base_is_seller,price
0,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GB35UVCM6WHF3D66B6N5J2B6RIMTOUQ6QTUWCVZVIDPADJYVLO75BCBS'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954378'}}",213489428281954378-0,213489428281954378-0,2023-12-31T09:39:32Z,orderbook,4825175446709342282,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000001,native,1143438102,GB35UVCM6WHF3D66B6N5J2B6RIMTOUQ6QTUWCVZVIDPADJYVLO75BCBS,0.0000100,credit_alphanum4,BCBS,GCJGGDUCC6TIIK7YLVR5KFWUXGHO3FLCJYMPHO3UB5HVDCALSYFGBCBS,False,"{'n': '100', 'd': '1'}"
1,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GDXUMXZNFQX5ETUE7TEMIKF4UMVZ2XMRGQRWCZ2FUDPEVMDT44TDBCBS'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954377'}}",213489428281954377-0,213489428281954377-0,2023-12-31T09:39:32Z,orderbook,4825175446709342281,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000006,native,1143437539,GDXUMXZNFQX5ETUE7TEMIKF4UMVZ2XMRGQRWCZ2FUDPEVMDT44TDBCBS,0.0000120,credit_alphanum12,SILVER,GD4FXSRTQPEJLPWZ7R3WQ34RARO6Z5DLF4SLUT44DMG3ZCSANTJZSLVR,False,"{'n': '20', 'd': '1'}"
2,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GCPLMZ5S75KPOGAOC2EXZDR6TQ5V6FQYJ6N5RYRY2BSL5RTEMMORBCBS'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954376'}}",213489428281954376-0,213489428281954376-0,2023-12-31T09:39:32Z,orderbook,4825175446709342280,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000006,native,1143437219,GCPLMZ5S75KPOGAOC2EXZDR6TQ5V6FQYJ6N5RYRY2BSL5RTEMMORBCBS,0.0000120,credit_alphanum12,PALLADIUM,GCHPB2XO6XIDEU4X2L333AJEUHDC2XF7WYH2OACNKUXLRIQOUUXQPALL,False,"{'n': '20', 'd': '1'}"
3,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GBFJY42DJJTF2NQJDNLGT7GSCDRB5WSV62RYDE53Z2QFHQE5DYVVK4Q2'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954375'}}",213489428281954375-0,213489428281954375-0,2023-12-31T09:39:32Z,orderbook,4825175446709342279,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000006,native,1439295299,GBFJY42DJJTF2NQJDNLGT7GSCDRB5WSV62RYDE53Z2QFHQE5DYVVK4Q2,0.0000120,credit_alphanum12,PLATINUM,GATG6UKVQZKHK54WGHXA6M3UZQ22JNG7KFYWPBHJPORLSQ5GCMFWPLAT,False,"{'n': '201', 'd': '10'}"
4,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GBMI77C2L3DHN5NPEVHNBNWWYNVVDL3OG2XEYH4Q6UGY3AQC3LTXBQEH'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954373'}}",213489428281954373-0,213489428281954373-0,2023-12-31T09:39:32Z,orderbook,4825175446709342277,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000001,native,1139272720,GBMI77C2L3DHN5NPEVHNBNWWYNVVDL3OG2XEYH4Q6UGY3AQC3LTXBQEH,0.0000100,credit_alphanum12,eTRUCK,GBJOFUDCHDBEBS2CP7CQY3RXWDXGFDFOQSQAY36ZGV55AUGYN4HCI5IP,False,"{'n': '100', 'd': '1'}"
5,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GCLLU2IKJQAX6DQGXJXVZDWMYWRXQ6LISC7O5SGEOS7BFNISWI6TEXLM'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954372'}}",213489428281954372-0,213489428281954372-0,2023-12-31T09:39:32Z,orderbook,4825175446709342276,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000001,native,1139285537,GCLLU2IKJQAX6DQGXJXVZDWMYWRXQ6LISC7O5SGEOS7BFNISWI6TEXLM,0.0000100,credit_alphanum12,eBRONZE,GCD2ZPSPGHIVZXRLONJL2BYBQNHAPNE2ODXHEX5FH2AN5N4BSUU6BRNZ,False,"{'n': '100', 'd': '1'}"
6,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GAB7XQ44HBDYGKPBD6OVY3KXOJ7V6O4WE64XPDPCGRAEJ2BZV25O7WIL'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954371'}}",213489428281954371-0,213489428281954371-0,2023-12-31T09:39:32Z,orderbook,4825175446709342275,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000001,native,1134201786,GAB7XQ44HBDYGKPBD6OVY3KXOJ7V6O4WE64XPDPCGRAEJ2BZV25O7WIL,0.0000100,credit_alphanum12,eLOGIS,GDPIW63PH4K3HQ2F2O4FHSVHSTHHTCXV4HFR7QYR4K26RWR75ITP5NDK,False,"{'n': '100', 'd': '1'}"
7,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GDLFQYHVWSM27IM3OKQXKZWUU32WFRT5YT22WOTTDJL4O7B4573VSBBU'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954370'}}",213489428281954370-0,213489428281954370-0,2023-12-31T09:39:32Z,orderbook,4825175446709342274,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000001,native,1137622848,GDLFQYHVWSM27IM3OKQXKZWUU32WFRT5YT22WOTTDJL4O7B4573VSBBU,0.0000100,credit_alphanum12,eMODELX,GCWGI25LNK7GNTCVFFJRQC32KYDMZVOJBY5EZI7XFB7TD2TYQACBFX3A,False,"{'n': '100', 'd': '1'}"
8,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GBOV6VYKLZDC4WQISHVFWBQ7DKDJKKANJA43DTCHXOZO4WILA3X6WHIP'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954348'}}",213489428281954348-0,213489428281954348-0,2023-12-31T09:39:32Z,orderbook,4825175446709342252,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000001,native,1137648212,GBOV6VYKLZDC4WQISHVFWBQ7DKDJKKANJA43DTCHXOZO4WILA3X6WHIP,0.0000108,credit_alphanum12,ELONWHIP,GCVJ43SIM6QTO23WA5APQ76FSD7WF2CUXBNZAW55VEVKUPAA4NJHWHIP,False,"{'n': '1000000', 'd': '9179'}"
9,"{'self': {'href': ''}, 'base': {'href': 'https://horizon.stellar.org/accounts/GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U'}, 'counter': {'href': 'https://horizon.stellar.org/accounts/GBOV6VYKLZDC4WQISHVFWBQ7DKDJKKANJA43DTCHXOZO4WILA3X6WHIP'}, 'operation': {'href': 'https://horizon.stellar.org/operations/213489428281954347'}}",213489428281954347-0,213489428281954347-0,2023-12-31T09:39:32Z,orderbook,4825175446709342251,GCT6EPQFFAVS3VKTA47F2Z6V7YDSVIU664OFAKATSLNJAK4HESBXYT2U,0.0000001,native,1137647047,GBOV6VYKLZDC4WQISHVFWBQ7DKDJKKANJA43DTCHXOZO4WILA3X6WHIP,0.0000108,credit_alphanum12,WHIPLASHP,GCMWDL72QGVQSE6VESCHRIQSW2UAJE7JSR7W4QG7OGIIFWFBBRKWWHIP,False,"{'n': '1000000', 'd': '9179'}"
